,Action,word,Start_time,End_time,duration,time
139,EndSaying,LIMÓN,2022-06-28 11:17:09.892,2022-06-28 11:17:11.519,833,2022-06-28 11:17:10.299
140,StartReading,TROMPETA,2022-06-28 11:17:11.519,2022-06-28 11:17:12.230,364,2022-06-28 11:17:11.924
141,StartSaying,TROMPETA,2022-06-28 11:17:12.230,2022-06-28 11:17:14.234,1026,2022-06-28 11:17:12.635
142,EndSaying,TROMPETA,2022-06-28 11:17:14.234,2022-06-28 11:17:15.750,776,2022-06-28 11:17:14.639
143,StartReading,CAMISETA,2022-06-28 11:17:15.750,2022-06-28 11:17:16.458,363,2022-06-28 11:17:16.155
144,StartSaying,CAMISETA,2022-06-28 11:17:16.458,2022-06-28 11:17:18.464,1027,2022-06-28 11:17:16.865
145,EndSaying,CAMISETA,2022-06-28 11:17:18.464,2022-06-28 11:17:20.062,818,2022-06-28 11:17:18.869
146,StartReading,PIANO,2022-06-28 11:17:20.062,2022-06-28 11:17:20.773,364,2022-06-28 11:17:20.467
147,StartSaying,PIANO,2022-06-28 11:17:20.773,2022-06-28 11:17:22.779,1027,2022-06-28 11:17:21.179
148,EndSaying,PIANO,2022-06-28 11:17:22.779,2022-06-28 11:17:24.736,1002,2022-06-28 11:17:23.184
149,StartReading,PERRO,2022-06-28 11:17:24.736,2022-06-28 11:17:25.449,365,2022-06-28 11:17:25.143
150,StartSaying,PERRO,2022-06-28 11:17:25.449,2022-06-28 11:17:27.451,1025,2022-06-28 11:17:25.853
151,EndSaying,PERRO,2022-06-28 11:17:27.451,2022-06-28 11:17:28.978,782,2022-06-28 11:17:27.857
152,StartReading,VIOLÍN,2022-06-28 11:17:28.978,2022-06-28 11:17:29.689,364,2022-06-28 11:17:29.384
153,EndReading,VIOLÍN,2022-06-28 11:17:29.689,2022-06-28 11:17:31.699,1029,2022-06-28 11:17:30.096
154,EndSaying,VIOLÍN,2022-06-28 11:17:31.699,2022-06-28 11:17:33.791,1071,2022-06-28 11:17:32.104
155,StartBlockThinking,,2022-06-28 11:17:33.791,2022-06-28 11:17:35.591,922,2022-06-28 11:17:34.196
156,StartReading,ZAPATO,2022-06-28 11:17:35.591,2022-06-28 11:17:36.300,363,2022-06-28 11:17:35.996
157,StartSaying,ZAPATO,2022-06-28 11:17:36.300,2022-06-28 11:17:38.306,1027,2022-06-28 11:17:36.705
158,EndSaying,ZAPATO,2022-06-28 11:17:38.306,2022-06-28 11:17:40.234,987,2022-06-28 11:17:38.712
159,StartReading,JIRAFA,2022-06-28 11:17:40.234,2022-06-28 11:17:40.943,363,2022-06-28 11:17:40.638
160,EndReading,JIRAFA,2022-06-28 11:17:40.943,2022-06-28 11:17:42.949,1027,2022-06-28 11:17:41.349
161,EndSaying,JIRAFA,2022-06-28 11:17:42.949,2022-06-28 11:17:44.753,924,2022-06-28 11:17:43.354
162,StartReading,PANTALÓN,2022-06-28 11:17:44.753,2022-06-28 11:17:45.464,364,2022-06-28 11:17:45.159
163,StartSaying,PANTALÓN,2022-06-28 11:17:45.464,2022-06-28 11:17:47.468,1026,2022-06-28 11:17:45.869
164,EndSaying,PANTALÓN,2022-06-28 11:17:47.468,2022-06-28 11:17:49.099,835,2022-06-28 11:17:47.873
165,StartReading,LIMÓN,2022-06-28 11:17:49.099,2022-06-28 11:17:49.814,366,2022-06-28 11:17:49.505
166,StartSaying,LIMÓN,2022-06-28 11:17:49.814,2022-06-28 11:17:51.818,1026,2022-06-28 11:17:50.218
167,EndSaying,LIMÓN,2022-06-28 11:17:51.818,2022-06-28 11:17:53.708,968,2022-06-28 11:17:52.223
168,StartReading,TROMPETA,2022-06-28 11:17:53.708,2022-06-28 11:17:54.421,365,2022-06-28 11:17:54.114
169,StartSaying,TROMPETA,2022-06-28 11:17:54.421,2022-06-28 11:17:56.425,1026,2022-06-28 11:17:54.827
170,EndSaying,TROMPETA,2022-06-28 11:17:56.425,2022-06-28 11:17:58.363,992,2022-06-28 11:17:56.830
171,StartReading,LECHUGA,2022-06-28 11:17:58.363,2022-06-28 11:17:59.074,364,2022-06-28 11:17:58.767
172,StartSaying,LECHUGA,2022-06-28 11:17:59.074,2022-06-28 11:18:01.080,1027,2022-06-28 11:17:59.479
173,EndSaying,LECHUGA,2022-06-28 11:18:01.080,2022-06-28 11:18:03.072,1020,2022-06-28 11:18:01.483
